"","playerID","bbrefID"
"1264","bennepu01","bennepu01"
"1265","bennesh01","bennesh01"
"1266","bennhe01","bennhe01"
"1267","benoijo01","benoijo01"
"1268","bensoal01","bensoal01"
"1269","bensojo01","bensojo01"
"1270","bensokr01","bensokr01"
"1271","bensove01","bensove01"
"1272","bentlcy01","bentlcy01"
"1273","bentlja01","bentlja01"
"1274","bentoal01","bentoal01"
"1275","bentobu01","bentobu01"
"1276","bentola01","bentola01"
"1277","bentora01","bentora01"
"1278","bentoru01","bentoru01"
"1279","bentosi01","bentosi01"
"1280","bentzch01","bentzch01"
"1281","benzito01","benzito01"
"1282","benzjo01","benzjo01"
"1283","berarjo01","berarjo01"
"1284","berbelo01","berbelo01"
"1285","berblje01","berblje01"
"1286","bereja01","bereja01"
"1287","berenbr01","berenbr01"
"1288","berenju01","berenju01"
"1289","beresja01","beresja01"
"1290","bergaau01","bergaau01"
"1291","bergda01","bergda01"
"1292","bergebi01","bergebi01"
"1293","bergebo01","bergebo01"
"1294","bergebr01","bergebr01"
"1295","bergebr02","bergebr02"
"1296","bergecl01","bergecl01"
"1297","bergehe01","bergehe01"
"1298","bergejo01","bergejo01"
"1299","bergejo02","bergejo02"
"1300","bergema01","bergema01"
"1301","bergepe01","bergepe01"
"1302","bergetr01","bergetr01"
"1303","bergetu01","bergetu01"
"1304","bergewa01","bergewa01"
"1305","berghjo01","berghjo01"
"1306","berghma01","berghma01"
"1307","bergju01","bergju01"
"1308","bergmal01","bergmal01"
"1309","bergmch01","bergmch01"
"1310","bergmda01","bergmda01"
"1311","bergmdu01","bergmdu01"
"1312","bergmja01","bergmja01"
"1313","bergmo01","bergmo01"
"1314","bergmse01","bergmse01"
"1315","bergowi01","bergowi01"
"1316","berkefr01","berkefr01"
"1317","berkeja01","berkeja01"
"1318","berkena01","berkena01"
"1319","berkmla01","berkmla01"
"1320","berlyja01","berlyja01"
"1321","bermabo01","bermabo01"
"1322","bernacu01","bernacu01"
"1323","bernadw01","bernadw01"
"1324","bernajo01","bernajo01"
"1325","bernaro01","bernaro01"
"1326","bernato01","bernato01"
"1327","bernavi01","bernavi01"
"1328","bernead01","bernead01"
"1329","bernhbi01","bernhbi01"
"1330","bernhju01","bernhju01"
"1331","bernhwa01","bernhwa01"
"1332","bernica01","bernica01"
"1333","bernido01","bernido01"
"1334","berojo01","berojo01"
"1335","berrada01","berrada01"
"1336","berrade01","berrade01"
"1337","berrayo01","berrayo01"
"1338","berrera01","berrera01"
"1339","berrijo01","berrijo01"
"1340","berroan01","berroan01"
"1341","berroge01","berroge01"
"1342","berrych01","berrych01"
"1343","berrych02","berrych02"
"1344","berrycl01","berrycl01"
"1345","berryda01","berryda01"
"1346","berryjo01","berryjo01"
"1347","berryjo02","berryjo02"
"1348","berryjo03","berryjo03"
"1349","berryke01","berryke01"
"1350","berryne01","berryne01"
"1351","berryqu01","berryqu01"
"1352","berryse01","berryse01"
"1353","berryto01","berryto01"
"1354","bertafr01","bertafr01"
"1355","bertedi01","bertedi01"
"1356","berteha01","berteha01"
"1357","berthha01","berthha01"
"1358","bertijo01","bertijo01"
"1359","bertomi01","bertomi01"
"1360","bertore01","bertore01"
"1361","bertrle01","bertrle01"
"1362","beruman01","beruman01"
"1363","besanfr01","besanfr01"
"1364","beschbo01","beschbo01"
"1365","bessedo01","bessedo01"
"1366","bessehe01","bessehe01"
"1367","besti01","besti01"
"1368","bestka01","bestka01"
"1369","beswiji01","beswiji01"
"1370","betande01","betande01"
"1371","betanra01","betanra01"
"1372","betanyu01","betanyu01"
"1373","betchfr01","betchfr01"
"1374","betemwi01","betemwi01"
"1375","bethach01","bethach01"
"1376","bethebi01","bethebi01"
"1377","bethkji01","bethkji01"
"1378","betteje01","betteje01"
"1379","bettela01","bettela01"
"1380","bettial01","bettial01"
"1381","bettich01","bettich01"
"1382","bettsha01","bettsha01"
"1383","bettshu01","bettshu01"
"1384","bettsmo01","bettsmo01"
"1385","betzebr01","betzebr01"
"1386","bevacku01","bevacku01"
"1387","bevanha01","bevanha01"
"1388","bevenbi01","bevenbi01"
"1389","beverja01","beverja01"
"1390","bevilbe01","bevilbe01"
"1391","bevilbr01","bevilbr01"
"1392","bevillo01","bevillo01"
"1393","bevilmo01","bevilmo01"
"1394","bevinte99","bevinte99"
"1395","bezdehu99","bezdehu99"
"1396","biagijo01","biagijo01"
"1397","biancbu01","biancbu01"
"1398","biancje01","biancje01"
"1399","biancto01","biancto01"
"1400","biasaha01","biasaha01"
"1401","bibbyji01","bibbyji01"
"1402","bibenau01","bibenau01"
"1403","bichebo01","bichebo01"
"1404","bicheda01","bicheda01"
"1405","bicke99","bickejo99"
"1406","bickfph01","bickfph01"
"1407","bickfve01","bickfve01"
"1408","bickhda01","bickhda01"
"1409","bicknch01","bicknch01"
"1410","biddlje01","biddlje01"
"1411","biddlro01","biddlro01"
"1412","biebesh01","biebesh01"
"1413","bielabr01","bielabr01"
"1414","bielaos01","bielaos01"
"1415","bielemi01","bielemi01"
"1416","biemiha01","biemiha01"
"1417","bierblo01","bierblo01"
"1418","bierbni01","bierbni01"
"1419","bierdra01","bierdra01"
"1420","biermch01","biermch01"
"1421","biesest01","biesest01"
"1422","bigbeca01","bigbeca01"
"1423","bigbely01","bigbely01"
"1424","bigbila01","bigbila01"
"1425","bigelel01","bigelel01"
"1426","biggica01","biggica01"
"1427","biggicr01","biggicr01"
"1428","biggsch01","biggsch01"
"1429","biglepe01","biglepe01"
"1430","bignege01","bignege01"
"1431","biittla01","biittla01"
"1432","bilarda01","bilarda01"
"1433","bilbrji01","bilbrji01"
"1434","bildiem01","bildiem01"
"1435","bilkost01","bilkost01"
"1436","billibr01","billibr01"
"1437","billibr02","billibr02"
"1438","billich01","billich01"
"1439","billidi01","billidi01"
"1440","billiha01","billiha01"
"1441","billija01","billija01"
"1442","billijo01","billijo01"
"1443","billijo02","billijo02"
"1444","binksge01","binksge01"
"1445","birasst01","birasst01"
"1446","birchju01","birchju01"
"1447","birddo01","birddo01"
"1448","birdfr01","birdfr01"
"1449","birdge01","birdge01"
"1450","birdgr01","birdgr01"
"1451","birdky01","birdky01"
"1452","birdre01","birdre01"
"1453","birdsda01","birdsda01"
"1454","birkbmi01","birkbmi01"
"1455","birkiku01","birkiku01"
"1456","birkora01","birkora01"
"1457","birmijo01","birmijo01"
"1458","birreba01","birreba01"
"1459","birtsti01","birtsti01"
"1460","biscafr01","biscafr01"
"1461","bischjo01","bischjo01"
"1462","bisenjo01","bisenjo01"
"1463","bishobi01","bishobi01"
"1464","bishobi02","bishobi02"
"1465","bishobr01","bishobr01"
"1466","bishoch01","bishoch01"
"1467","bishofr01","bishofr01"
"1468","bishoji01","bishoji01"
"1469","bisholl01","bisholl01"
"1470","bishoma01","bishoma01"
"1471","bishomi01","bishomi01"
"1472","bislari01","bislari01"
"1473","bissode01","bissode01"
"1474","bithohi01","bithohi01"
"1475","bitkejo01","bitkejo01"
"1476","bittije01","bittije01"
"1477","bittmre01","bittmre01"
"1478","bivinji01","bivinji01"
"1479","bixlebr01","bixlebr01"
"1480","bjorkge01","bjorkge01"
"1481","blachty01","blachty01"
"1482","blackbi01","blackbi01"
"1483","blackbo01","blackbo01"
"1484","blackbu01","blackbu01"
"1485","blackbu02","blackbu02"
"1486","blackch01","blackch01"
"1487","blackch02","blackch02"
"1488","blackda01","blackda01"
"1489","blackdo01","blackdo01"
"1490","blackea01","blackea01"
"1491","blacket01","blacket01"
"1492","blackew01","blackew01"
"1493","blackfr01","blackfr01"
"1494","blackge01","blackge01"
"1495","blackge02","blackge02"
"1496","blackji01","blackji01"
"1497","blackjo01","blackjo01"
